uno	eins, einer
la naranja	Apfelsine
el vino tinto	Rotwein
el jerez	Sherrywein
el zapato	Schuh
el río	Fluss
el mar	Meer
el océano	Ozean
hoy	heute
voy	ich gehe/fahre
Sagunto	Stadt im Osten Spaniens
Hoy voy a Sagunto.	Heute fahre ich nach Sagunto
entre	zwischen
Valencia	Stadt im Osten Spaniens
Castellón (de la Plana)	Stadt im Osten Spaniens
Está entre Valencia y Castellón	Es liegt zwischen Valencia und Castellón.
vas	du gehst/fährst
¿Cómo vas?	Wie fährst du hin?
en tren	mit dem Zug
en autobús	mit dem Bus
Latinoamérica	Lateinamerika
mañana	morgen
en avión	mit dem Flugzeug
¿Va usted en avión?	Fliegen Sie?
en barco	mit dem Schiff
grande	gross
pequeño	klein
adónde	wohin
la señorita	Fräulein
la región	Region
donde	wo
allí	dort
muchos	viele, zahlreiche
pero	aber
junto al mar	am Meer

en la calle	auf der Strasse
la farmacia	Apotheke
el banco	Bank
el bar	Imbissstube
el autobús	Autobus
el coche	Wagen
el portero	Portier
sé	ich weiss
el guardia	Polizist
cerca	nahe
la parada	Haltestelle
el número	Nummer
seis	sechs
el cine	Kino
la biblioteca	Bibliothek
caro	teuer
barato	billig
enfrente	gegenüber
el/la turista	der/die Tourist/in
dice	er/sie sagt

¿quién?	wer?
la chica	Mädchen
la cocina	Küche
la cocinera	Köchin
lafábrica	Fabrik
el mecánico	Mechaniker
ahora	jetzt
la bicicleta	Fahrrad
aquí	hier
mucho	viel
poco	wenig
yo	ich
pronto	bald
el restaurante	Restaurant
¿por qué?	warum?
porque	weil
mi	mein, meine
la familia	Familie
la casa	Haus

la Postal	Postkarte
el sello	Briefmarke
elcuadro	Bild, Gemälde
siete	sieben
la peseta	Pesete
¡Tenga!	Bitte schön!
diez	zehn
la vuelta	Wechselgeld
ocho	acht
nueve	neun
la iglesia	Kirche
la catedral	Kathedrale
trece	dreizehn
once	elf
quince	fünfzehn
doce	zwölf
catorce	vierzehn
el precio	der Preis
cambiar	sich ändern
solamente	nur
ya no	nicht mehr
la estafeta de correos	Postamt
Déme ...	Geben Sie mir ...
europeo	europäisch

la mesa	Tisch
la silla	Stuhl
la taza	Tasse
la chica	Mädchen
el café	Kaffee
los padres	Eltern
la madre	Mutter
el padre	Vater
la empresa	Unternehmen
el domingo	sonntag
Buenas tardes.	Guten Tag.
¿Vamos?	Gehen wir?
¿Adónde vais?	Wo geht ihr hin?
nuevo	neu
el trabajo	Arbeit
el jefe	Chef
simpático	freundlich
exigente	anspruchsvoll
la hora	Stunde
el día	Tag
por la mañana	vormittags
de ocho a una	von acht bis eins
por la tarde	nachmittags
la recepción	Rezeption
la pensión	Pension
el camarero	Kellner
el teléfono	Telefon
moderno	modern
el mes	Monat
las pagas	zusätzliche Monatsgehälter
después	danach, nachher

la lotería	Lotterie
el gordo	höchster Lotteriegewinn
el número	Los
veinte	zwanzig
el año	Jahr
¿Cuántos años tienes?	Wie alt bist du?
a ver	mal sehen
si	ob
cuarenta	vierzig
menos	weniger
treinto y cinco	fünfunddreissig
¡Eso es!	Genau das!, Richtig!
el dinero	Geld

el centro	Zentrum
el estanco	Tabakladen
el buzón	Briefkasten
a la derecha de	rechts von
a la izquierda de	links von
la tienda	Geschäft
el cigarillo	Zigarette
la pipa	Tabakpfeife
la caja de cerillas	Schachtel Streichhölzer
el bolígrafo	Kugelschreiber
el paquete	Paket
la marca	Marke
este; esta, estos, estas	dieser; diese
entonces	dann
aquel, aquella, aquellos, aquellas	jener, jenes, jene
caro	teuer
barato	billig
al lado de	neben
estos, estas	diese hier
grande	gross
ahí	da; dort
ese, esa, esos, esas	dieser, diese
¿Ése que está ahí?	Der da?
demasiado caro	zu teuer
pequeño	klein
la moto	Motorrad
