אָמֵר	er hat gesagt
לַיְלָה (m.)	Nacht
כָּבֹוד	Gewicht / Ehre / Herrlichkeit
כְּסִיל	Tor / töricht
מָקֹום	Ort / Stätte
תְּפִלָּה	Gebet
אֶחָד	einer
בַּעַל	Besitzer / Herr
רֶגֶל	Fuss
יֹומָם	tagsüber / bei Tage
אָמֵן	gewiss!

בדל	trennen / sondern / aussondern
קשׁב	aufmerken
סתר	verbergen
שׂכל	Einsicht haben / Erfolg haben
שׁחת	verderben / vernichten
שׁכם	früh aufstehen / früh tun
שׁלך	werfen
שׁמד	vertilgen / zerstören
רחק	fern sein / sich entfernen
שׁבת	aufhören / ruhen
עֶבֶד	Knecht / Sklave / Diener
נֶפֶשׁ (f.)	(Kehle) / Begierde / Lebenskraft / Leben
דֶּרֶךְ (sg. meist f. / pl. m.)	Weg / Wandel / Reise / Unternehmung
אֶלֶף	tausend / Tausendschaft / Sippe / Gau
אֶבֶן (f.)	Stein
חֶסֶד	Güte / Gnade / Solidarität / Loyalität
שֶׁמֶן	Öl / Fett
עֶרֶב	Abend
עֶצֶם	Knochen / Gebein / Wesen / Selbst
לֶחֶם	Brot / Speise / Nahrung
נַחַל	Bachtal / Bach / Wadi
פַּעַם	(Fuss / Tritt) / Mal
שַׁעַר	Tor
בֹּקֶר	Morgen
בָּשָׂר	Fleisch
פָּנִים	Angesicht / Vorderseite / Oberfläche
תֹּורָה	Weisung / Gesetz
אֱנֹושׁ	Menschen
מַמְךָכָה (cs. מַמְלֶכֶת)	Königsherrschaft / Königreich
מָלֵא	voll

בקשׁ	suchen
כפר	Sühne schaffen
שׁלם	ersetzen / vergelten
ספר	erzählen
זמר	singen / spielen / preisen
למד	lehren
כבס	waschen
פלט	retten
נדל	gross machen / gross ziehen
כזב	lügen
קֶרֶב	Inneres / Eingeweide / Mitte
שֶׁמֶשׁ	Sonne
רֶכֶב	(Streit-)Wagen (koll.)
שֶׁקֶר	Täuschung / Lüge / Trug
כֶּבֶשׁ	junger Widder / Lamm
שֵׁבֶט	Stab / Stamm
קֹדֶשׁ	Heiliges / Heiligtum / Heiligkeit
אֹהֶל	Zelt
אֹזֶן (f.)	Ohr
חֹדֶשׁ	Neumond / Monat
נְחֹשֶׁת	Kupfer / Bronze
אֹרֶךְ	Länge
רֹחַב	Breite
שֹׁרֶשׁ	Wurzel
רָשָׁע	Frevler / Gottloser / schuldig
מִשְׁפָּט	Gericht / Rechtssache / Recht
יֶלֶד (pl. cs. יַלְדֵי)	Kind / Knabe
שָׁנָה (f., pl. שָׁנִים)	Jahr
חֹומָה	(Stadt-)Mauer
עֹוד	noch / nochmals / wieder
מִזְמֹור	Psalm
עֵד	Zeuge
בַּרְזֶל	Eisen

פלל (אֶל–/בְּעַד/בַּעֲדֹו)	beten (zu / für / für ihn)
יצב	sich hinstellen
הלל	sich rühmen
טמא	sich verunreinigen
חטא	sich verfehlen / sündigen
ברא	schaffen / erschaffen
רפא	heilen
קנא	eifersüchtig sein / eifern
שָׁנֵא	hassen
צַיִן	Auge / Quelle
אַיִל	Widder
יַיִן	Wein
תָּוֶךְ	Mitte
אָוֶן	Unheil
פְּרִי	Frucht
חֲצִי	Hälfte / Mitte
כְּלִי	Gefäss / Gerät / Werkzeug / Waffe
אֲרִי	Löwe
חֳלִי	Krankheit
דְּבַשׁ	Honig
חַטָּאת	Sünde / Sündopfer
עָוֹן	Sünde / Schuld / Strafe
עָוֶל	Unrecht
קָדֹושׁ	heilig
הֵן	siehe!
מָחָר	morgen
אֲהָהּ	jetzt / nun
אִמ	wenn / ob
בַּעַד (cs. בַּעַד)	zugunsten von
